path,width,height,format_or_mode,alpha,purpose
05_symbols/animated/raven/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/raven/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/raven/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/raven/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/raven/preview_raven.gif,256,256,P,yes,preview raven
05_symbols/animated/raven/symbol_raven_win_sheet.png,2048,1024,RGBA,yes,symbol raven win sheet
05_symbols/animated/scatter/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/scatter/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/scatter/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/scatter/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/scatter/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/scatter/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/scatter/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/scatter/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/scatter/preview_scatter.gif,256,256,P,yes,preview scatter
05_symbols/animated/scatter/symbol_scatter_win_sheet.png,2048,1024,RGBA,yes,symbol scatter win sheet
05_symbols/animated/shovel/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/shovel/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/shovel/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/shovel/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/shovel/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/shovel/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/shovel/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/shovel/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/shovel/preview_shovel.gif,256,256,P,yes,preview shovel
05_symbols/animated/shovel/symbol_shovel_win_sheet.png,2048,1024,RGBA,yes,symbol shovel win sheet
05_symbols/animated/sleepy_ghost/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/sleepy_ghost/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/sleepy_ghost/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/sleepy_ghost/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/sleepy_ghost/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/sleepy_ghost/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/sleepy_ghost/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/sleepy_ghost/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/sleepy_ghost/preview_sleepy_ghost.gif,256,256,P,yes,preview sleepy ghost
05_symbols/animated/sleepy_ghost/symbol_sleepy_ghost_win_sheet.png,2048,1024,RGBA,yes,symbol sleepy ghost win sheet
05_symbols/animated/thermos/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/thermos/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/thermos/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/thermos/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/thermos/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/thermos/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/thermos/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/thermos/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/thermos/preview_thermos.gif,256,256,P,yes,preview thermos
05_symbols/animated/thermos/symbol_thermos_win_sheet.png,2048,1024,RGBA,yes,symbol thermos win sheet
05_symbols/animated/tombstone/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/tombstone/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/tombstone/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/tombstone/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/tombstone/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/tombstone/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/tombstone/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/tombstone/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/tombstone/preview_tombstone.gif,256,256,P,yes,preview tombstone
05_symbols/animated/tombstone/symbol_tombstone_win_sheet.png,2048,1024,RGBA,yes,symbol tombstone win sheet
05_symbols/animated/wild/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/wild/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/wild/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/wild/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/wild/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/wild/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/wild/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/wild/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/wild/preview_wild.gif,256,256,P,yes,preview wild
05_symbols/animated/wild/symbol_wild_win_sheet.png,2048,1024,RGBA,yes,symbol wild win sheet
05_symbols/static/master_512/symbol_black_cat.png,512,512,RGBA,yes,symbol black cat
05_symbols/static/master_512/symbol_caretaker.png,512,512,RGBA,yes,symbol caretaker
05_symbols/static/master_512/symbol_checklist.png,512,512,RGBA,yes,symbol checklist
05_symbols/static/master_512/symbol_keys.png,512,512,RGBA,yes,symbol keys
05_symbols/static/master_512/symbol_lantern.png,512,512,RGBA,yes,symbol lantern
05_symbols/static/master_512/symbol_raven.png,512,512,RGBA,yes,symbol raven
05_symbols/static/master_512/symbol_scatter.png,512,512,RGBA,yes,symbol scatter
05_symbols/static/master_512/symbol_shovel.png,512,512,RGBA,yes,symbol shovel
05_symbols/static/master_512/symbol_sleepy_ghost.png,512,512,RGBA,yes,symbol sleepy ghost
05_symbols/static/master_512/symbol_thermos.png,512,512,RGBA,yes,symbol thermos
05_symbols/static/master_512/symbol_tombstone.png,512,512,RGBA,yes,symbol tombstone
05_symbols/static/master_512/symbol_wild.png,512,512,RGBA,yes,symbol wild
05_symbols/static/symbol_atlas_4x3_512.png,2048,1536,RGBA,yes,symbol atlas 4x3 512
05_symbols/static/web_256/symbol_black_cat.png,256,256,RGBA,yes,symbol black cat
05_symbols/static/web_256/symbol_caretaker.png,256,256,RGBA,yes,symbol caretaker
05_symbols/static/web_256/symbol_checklist.png,256,256,RGBA,yes,symbol checklist
05_symbols/static/web_256/symbol_keys.png,256,256,RGBA,yes,symbol keys
05_symbols/static/web_256/symbol_lantern.png,256,256,RGBA,yes,symbol lantern
05_symbols/static/web_256/symbol_raven.png,256,256,RGBA,yes,symbol raven
05_symbols/static/web_256/symbol_scatter.png,256,256,RGBA,yes,symbol scatter
05_symbols/static/web_256/symbol_shovel.png,256,256,RGBA,yes,symbol shovel
05_symbols/static/web_256/symbol_sleepy_ghost.png,256,256,RGBA,yes,symbol sleepy ghost
05_symbols/static/web_256/symbol_thermos.png,256,256,RGBA,yes,symbol thermos
05_symbols/static/web_256/symbol_tombstone.png,256,256,RGBA,yes,symbol tombstone
05_symbols/static/web_256/symbol_wild.png,256,256,RGBA,yes,symbol wild
06_character/animations/feature_reaction/caretaker_feature_reaction_sheet.png,3072,1536,RGBA,yes,caretaker feature reaction sheet
06_character/animations/feature_reaction/frames/frame_00.png,768,768,RGBA,yes,frame 00
06_character/animations/feature_reaction/frames/frame_01.png,768,768,RGBA,yes,frame 01
06_character/animations/feature_reaction/frames/frame_02.png,768,768,RGBA,yes,frame 02
06_character/animations/feature_reaction/frames/frame_03.png,768,768,RGBA,yes,frame 03
06_character/animations/feature_reaction/frames/frame_04.png,768,768,RGBA,yes,frame 04
06_character/animations/feature_reaction/frames/frame_05.png,768,768,RGBA,yes,frame 05
06_character/animations/feature_reaction/frames/frame_06.png,768,768,RGBA,yes,frame 06
06_character/animations/feature_reaction/frames/frame_07.png,768,768,RGBA,yes,frame 07
06_character/animations/feature_reaction/preview_feature_reaction.gif,384,384,P,yes,preview feature reaction
06_character/animations/idle/caretaker_idle_sheet.png,3072,1536,RGBA,yes,caretaker idle sheet
06_character/animations/idle/frames/frame_00.png,768,768,RGBA,yes,frame 00
06_character/animations/idle/frames/frame_01.png,768,768,RGBA,yes,frame 01
06_character/animations/idle/frames/frame_02.png,768,768,RGBA,yes,frame 02
06_character/animations/idle/frames/frame_03.png,768,768,RGBA,yes,frame 03
06_character/animations/idle/frames/frame_04.png,768,768,RGBA,yes,frame 04
06_character/animations/idle/frames/frame_05.png,768,768,RGBA,yes,frame 05
06_character/animations/idle/frames/frame_06.png,768,768,RGBA,yes,frame 06
06_character/animations/idle/frames/frame_07.png,768,768,RGBA,yes,frame 07
06_character/animations/idle/preview_idle.gif,384,384,P,yes,preview idle
06_character/caretaker_composite_idle.png,768,768,RGBA,yes,caretaker composite idle
06_character/rig/pieces/caretaker_cap.png,768,768,RGBA,yes,caretaker cap
06_character/rig/pieces/caretaker_head.png,768,768,RGBA,yes,caretaker head
06_character/rig/pieces/caretaker_left_forearm_hand.png,768,768,RGBA,yes,caretaker left forearm hand
06_character/rig/pieces/caretaker_left_leg_boot.png,768,768,RGBA,yes,caretaker left leg boot
06_character/rig/pieces/caretaker_left_upper_arm.png,768,768,RGBA,yes,caretaker left upper arm
06_character/rig/pieces/caretaker_mug.png,768,768,RGBA,yes,caretaker mug
06_character/rig/pieces/caretaker_pelvis.png,768,768,RGBA,yes,caretaker pelvis
06_character/rig/pieces/caretaker_right_forearm_mug_hand.png,768,768,RGBA,yes,caretaker right forearm mug hand
06_character/rig/pieces/caretaker_right_leg_boot.png,768,768,RGBA,yes,caretaker right leg boot
06_character/rig/pieces/caretaker_right_upper_arm.png,768,768,RGBA,yes,caretaker right upper arm
06_character/rig/pieces/caretaker_shovel.png,768,768,RGBA,yes,caretaker shovel
06_character/rig/pieces/caretaker_torso.png,768,768,RGBA,yes,caretaker torso
07_multiplier/glows/multiplier_tier_active_amber.png,420,230,RGBA,yes,multiplier tier active amber
07_multiplier/glows/multiplier_tier_active_cyan.png,420,230,RGBA,yes,multiplier tier active cyan
07_multiplier/glows/multiplier_tier_active_green.png,420,230,RGBA,yes,multiplier tier active green
07_multiplier/glows/multiplier_tier_active_red.png,420,230,RGBA,yes,multiplier tier active red
07_multiplier/glows/multiplier_tier_active_violet.png,420,230,RGBA,yes,multiplier tier active violet
07_multiplier/labels/multiplier_label_x1.png,360,180,RGBA,yes,multiplier label x1
07_multiplier/labels/multiplier_label_x10.png,360,180,RGBA,yes,multiplier label x10
07_multiplier/labels/multiplier_label_x100.png,360,180,RGBA,yes,multiplier label x100
07_multiplier/labels/multiplier_label_x2.png,360,180,RGBA,yes,multiplier label x2
07_multiplier/labels/multiplier_label_x25.png,360,180,RGBA,yes,multiplier label x25
07_multiplier/labels/multiplier_label_x3.png,360,180,RGBA,yes,multiplier label x3
07_multiplier/labels/multiplier_label_x5.png,360,180,RGBA,yes,multiplier label x5
07_multiplier/labels/multiplier_label_x50.png,360,180,RGBA,yes,multiplier label x50
07_multiplier/multiplier_monument_base_labeled.png,560,1320,RGBA,yes,multiplier monument base labeled
07_multiplier/multiplier_monument_blank_master.png,560,1320,RGBA,yes,multiplier monument blank master
07_multiplier/multiplier_monument_blank_web.png,360,850,RGBA,yes,multiplier monument blank web
07_multiplier/multiplier_monument_boosted_labeled.png,560,1320,RGBA,yes,multiplier monument boosted labeled
07_multiplier/pieces/multiplier_footer.png,522,129,RGBA,yes,multiplier footer
07_multiplier/pieces/multiplier_header.png,396,215,RGBA,yes,multiplier header
07_multiplier/pieces/multiplier_tier_1.png,470,238,RGBA,yes,multiplier tier 1
07_multiplier/pieces/multiplier_tier_2.png,401,225,RGBA,yes,multiplier tier 2
07_multiplier/pieces/multiplier_tier_3.png,387,224,RGBA,yes,multiplier tier 3
07_multiplier/pieces/multiplier_tier_4.png,382,225,RGBA,yes,multiplier tier 4
07_multiplier/pieces/multiplier_tier_5.png,395,224,RGBA,yes,multiplier tier 5
08_hud/buy_feature/buy_feature_compact.png,320,320,RGBA,yes,buy feature compact
08_hud/buy_feature/buy_feature_disabled.png,768,320,RGBA,yes,buy feature disabled
08_hud/buy_feature/buy_feature_hover.png,768,320,RGBA,yes,buy feature hover
08_hud/buy_feature/buy_feature_idle.png,768,320,RGBA,yes,buy feature idle
08_hud/buy_feature/buy_feature_locked.png,768,320,RGBA,yes,buy feature locked
08_hud/buy_feature/buy_feature_pressed.png,768,320,RGBA,yes,buy feature pressed
08_hud/controls/button_autoplay_active.png,256,256,RGBA,yes,button autoplay active
08_hud/controls/button_autoplay_normal.png,256,256,RGBA,yes,button autoplay normal
08_hud/controls/button_close_normal.png,256,256,RGBA,yes,button close normal
08_hud/controls/button_info_normal.png,256,256,RGBA,yes,button info normal
08_hud/controls/button_menu_normal.png,256,256,RGBA,yes,button menu normal
08_hud/controls/button_menu_pressed.png,256,256,RGBA,yes,button menu pressed
08_hud/controls/button_minus_normal.png,256,256,RGBA,yes,button minus normal
08_hud/controls/button_minus_pressed.png,256,256,RGBA,yes,button minus pressed
08_hud/controls/button_plus_normal.png,256,256,RGBA,yes,button plus normal
08_hud/controls/button_plus_pressed.png,256,256,RGBA,yes,button plus pressed
08_hud/controls/button_settings_normal.png,256,256,RGBA,yes,button settings normal
08_hud/controls/button_settings_pressed.png,256,256,RGBA,yes,button settings pressed
08_hud/controls/button_sound_off.png,256,256,RGBA,yes,button sound off
08_hud/controls/button_sound_on.png,256,256,RGBA,yes,button sound on
08_hud/controls/button_turbo_active.png,256,256,RGBA,yes,button turbo active
